s	1724995980	18871.300000	1724996160	18877.300000
b	1724996160	18877.300000	1724997540	18887.300000
s	1724997660	18898.600000	1724998560	18891.200000
s	1724998560	18891.200000	1724998920	18898.600000
b	1724998920	18898.600000	1724999760	18892.200000
b	1725000300	18883.600000	1725000720	18890.600000
b	1725001140	18887.600000	1725001200	18896.600000
s	1725001200	18896.600000	1725003960	18931.600000
s	1725003960	18931.600000	1725004440	18931.600000
s	1725005040	18934.600000	1725005460	18938.600000
b	1725005460	18938.600000	1725005940	18932.600000
b	1725006360	18940.600000	1725007680	18937.600000
s	1725009720	18957.600000	1725010740	18945.600000
b	1725014400	18951.600000	1725015300	18956.600000
s	1725016080	18957.600000	1725016260	18962.600000
b	1725016620	18962.600000	1725016800	18954.600000
b	1725016800	18954.600000	1725017460	18956.600000
b	1725018120	18955.600000	1725018660	18954.600000
s	1725020280	18967.600000	1725021000	18972.600000
s	1725021000	18972.600000	1725021660	18968.600000
b	1725024240	18970.600000	1725025140	18962.600000
b	1725025140	18962.600000	1725025620	18954.600000
b	1725025620	18954.600000	1725026280	18956.600000
b	1725026280	18956.600000	1725026520	18947.600000
s	1725026520	18947.600000	1725027000	18956.600000
s	1725027000	18956.600000	1725027180	18944.600000
b	1725027600	18954.600000	1725028080	18946.600000
s	1725028080	18946.600000	1725028980	18942.900000
b	1725028980	18942.900000	1725029040	18930.600000
b	1725030060	18933.600000	1725030240	18919.600000
b	1725031080	18929.600000	1725032100	18916.600000
b	1725037800	18905.600000	1725037980	18911.600000
s	1725038340	18904.600000	1725038700	18907.600000
s	1725040020	18910.600000	1725040260	18916.600000
s	1725041220	18917.600000	1725041940	18920.600000
s	1725044220	18929.600000	1725044640	18934.600000
b	1725044700	18929.600000	1725045540	18926.600000
b	1725045540	18926.600000	1725046380	18931.600000
b	1725046380	18931.600000	1725046800	18938.600000
s	1725046800	18938.600000	1725046980	18933.600000
s	1725046980	18933.600000	1725047340	18940.600000
b	1725239220	18933.300000	1725239700	18934.300000
b	1725239700	18934.300000	1725239880	18938.300000
b	1725243000	18924.300000	1725244200	18916.300000
b	1725244920	18915.800000	1725245040	18921.300000
b	1725246060	18916.300000	1725246540	18920.300000
s	1725246540	18920.300000	1725246960	18919.300000
b	1725247980	18925.300000	1725248760	18918.300000
b	1725256080	18944.800000	1725256560	18945.300000
b	1725256860	18946.300000	1725257340	18934.200000
b	1725257340	18934.200000	1725257820	18934.600000
b	1725258720	18927.600000	1725259080	18932.600000
s	1725259080	18932.600000	1725259440	18927.600000
b	1725260040	18929.600000	1725260460	18921.600000
b	1725260460	18921.600000	1725262560	18832.100000
s	1725264240	18856.100000	1725264600	18867.100000
b	1725268080	18890.100000	1725268680	18887.100000
s	1725268680	18887.100000	1725269160	18892.100000
b	1725272280	18896.100000	1725272700	18889.100000
s	1725272700	18889.100000	1725273540	18888.100000
b	1725273540	18888.100000	1725274200	18888.100000
s	1725274440	18892.100000	1725276180	18895.100000
b	1725277500	18900.100000	1725277980	18903.100000
b	1725278460	18899.100000	1725278580	18905.100000
b	1725279360	18901.100000	1725279600	18910.100000
b	1725280560	18908.100000	1725280740	18916.100000
b	1725281040	18909.100000	1725281280	18916.100000
b	1725282360	18911.100000	1725282840	18911.100000
b	1725283500	18907.100000	1725284220	18903.100000
s	1725285120	18913.100000	1725285540	18910.100000
s	1725289920	18944.100000	1725289980	18939.100000
s	1725290580	18939.100000	1725291060	18942.100000
b	1725291060	18942.100000	1725291960	18947.100000
b	1725291960	18947.100000	1725292500	18950.100000
s	1725292500	18950.100000	1725292920	18949.100000
b	1725293760	18952.100000	1725294480	18951.100000
b	1725294480	18951.100000	1725295260	18953.100000
b	1725296340	18952.100000	1725297120	18953.100000
b	1725297120	18953.100000	1725297300	18955.100000
s	1725297300	18955.100000	1725297780	18955.100000
b	1725297780	18955.100000	1725297900	18956.100000
b	1725298920	18955.900000	1725299160	18958.100000
s	1725299160	18958.100000	1725299760	18958.100000
b	1725300420	18959.100000	1725301020	18958.100000
b	1725302400	18958.100000	1725302460	18956.900000
s	1725302460	18956.900000	1725302520	18958.100000
b	1725302520	18958.100000	1725302940	18956.900000
b	1725303060	18958.100000	1725303960	18957.100000
b	1725303960	18957.100000	1725304020	18958.100000
s	1725304560	18956.900000	1725304620	18958.100000
b	1725304620	18958.100000	1725304800	18956.900000
b	1725305580	18957.100000	1725306060	18956.100000
s	1725306180	18958.100000	1725306900	18961.100000
s	1725324660	18941.800000	1725324900	18944.800000
b	1725328860	18956.800000	1725329160	18962.800000
s	1725333720	18933.800000	1725334320	18934.800000
b	1725334500	18934.800000	1725334800	18932.800000
b	1725335160	18936.800000	1725335940	18942.800000
s	1725336060	18944.800000	1725336300	18942.800000
b	1725339000	18945.800000	1725339660	18946.800000
s	1725339660	18946.800000	1725340920	18961.800000
b	1725344940	18955.100000	1725345360	18950.100000
b	1725346500	18969.100000	1725346800	18972.100000
b	1725347400	18990.100000	1725348240	18983.100000
b	1725348660	18983.100000	1725348960	18996.100000
s	1725349680	18993.100000	1725350400	18987.100000
b	1725350640	18978.100000	1725351000	18982.100000
b	1725352800	18925.100000	1725353400	18933.100000
b	1725353400	18933.100000	1725355140	18902.100000
b	1725357780	18865.100000	1725358140	18853.100000
s	1725359040	18856.100000	1725359340	18871.100000
b	1725361200	18877.100000	1725361740	18874.100000
b	1725362700	18887.100000	1725362820	18895.100000
b	1725363240	18890.100000	1725363300	18897.100000
b	1725363720	18891.100000	1725364500	18887.100000
b	1725366240	18886.100000	1725366840	18885.100000
s	1725367320	18881.100000	1725368580	18863.100000
s	1725370080	18850.100000	1725370500	18857.100000
s	1725370740	18837.100000	1725371880	18818.100000
b	1725371880	18818.100000	1725372000	18794.300000
s	1725373860	18771.100000	1725374040	18790.100000
s	1725374040	18790.100000	1725374400	18771.100000
b	1725374400	18771.100000	1725375180	18763.100000
b	1725376440	18767.100000	1725377040	18765.100000
s	1725377040	18765.100000	1725377580	18760.100000
b	1725378480	18761.100000	1725378960	18756.100000
s	1725378960	18756.100000	1725379440	18760.100000
s	1725379440	18760.100000	1725379620	18752.100000
b	1725380040	18757.100000	1725380640	18758.100000
b	1725382320	18749.100000	1725382740	18745.100000
b	1725382740	18745.100000	1725382860	18750.100000
s	1725382860	18750.100000	1725382920	18744.100000
b	1725383100	18750.100000	1725383520	18746.100000
b	1725383520	18746.100000	1725384000	18748.100000
b	1725385140	18753.100000	1725385380	18740.100000
b	1725385380	18740.100000	1725386040	18742.100000
b	1725390300	18690.100000	1725390480	18682.100000
